isolate	aac(6')-aph(2'')	ant(6)-Ia	ant(6)-Ib	erm(B)	erm(G)	erm(Q)	erm(T)	lnu(P)	tet(44)	tetA(P)	tetB(P)
CQ170_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ171_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ172_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ173_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ174_scaffolds	0	0	0	0	0	0	1	0	0	1	1
CQ175_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ176_scaffolds	0	0	0	0	0	1	0	0	0	1	0
CQ177_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ178_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ179_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ17_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ180_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ181_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ182_scaffolds	0	0	1	0	0	1	0	0	1	1	0
CQ183_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ185_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ186_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ187_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ188_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ18_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ19_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ1_scaffolds	1	0	0	1	0	0	0	1	0	1	1
CQ202_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ203_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ204_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ205_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ206_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ207_scaffolds	1	0	0	0	0	1	0	1	0	1	1
CQ208_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ20_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ210_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ211_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ212_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ213_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ214_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ216_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ217_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ218_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ219_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ21_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ220_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ221_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ222_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ223_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ225_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ226_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ228_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ22_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ230_scaffolds	0	0	1	0	0	0	0	0	1	1	0
CQ231_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ232_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ233_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ234_scaffolds	0	0	1	0	0	1	0	0	1	1	1
CQ23_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ241_scaffolds	0	0	1	0	0	0	0	0	1	1	0
CQ242_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ243_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ245_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ246_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ247_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ248_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ249_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ24_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ250_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ251_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ252_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ253_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ254_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ255_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ256_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ257_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ258_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ259_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ25_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ260_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ261_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ262_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ263_scaffolds	1	0	0	0	0	1	0	0	0	1	1
CQ265_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ26_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ27_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ28_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ29_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ2_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ31_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ32_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ34_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ36_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ39_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ3_scaffolds	0	0	0	0	0	0	0	0	0	1	1
